Priority,Manual Review,URL,Strength,Recommended Service,Commercial Score,Technical Score,Site Quality Score,Content Quality Score,Primary Problem,Outreach Angle,Supporting Reasons,High Issues,Medium Issues,Low Issues,Booking Provider,Booking Links,Scan Successful,Error
3,Yes,https://www.hotelscanterbury.co.uk/stayincanterbury,POSSIBLE,Targeted Website Improvements,75,,60,70,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure,0,0,1,Eviivo,3,Yes,
3,Yes,https://www.hotelscanterbury.co.uk/castlehousehotel,POSSIBLE,Targeted Website Improvements,75,,60,70,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure,0,0,1,Eviivo,2,Yes,
4,No,https://www.cathgate.co.uk/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,0,Cloudbeds,2,Yes,
3,Yes,https://www.stonecourthouse.com/,POSSIBLE,Targeted Website Improvements,75,,60,70,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure,0,0,0,Direct Book,1,Yes,
3,Yes,https://www.thesunhotelcanterbury.uk/,POSSIBLE,Targeted Website Improvements,80,,90,45,No major automated issue detected,Website content and information quality,Weak or repetitive website content,0,0,0,Eviivo,1,Yes,
1,Yes,https://www.hotelrelish.co.uk/,STRONG,Website Recovery / Redesign,67,,25,100,Website content appears unrelated to the hospitality business,Website reliability,Website content appears unrelated to the hospitality business | SSL certificate verification problem,2,0,0,,0,Yes,
4,No,https://whodathoughtit.com/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,1,,1,Yes,
3,Yes,https://www.crescentturner.co.uk/,POSSIBLE,Targeted Website Improvements,81,,95,45,No major automated issue detected,Website content and information quality,Weak or repetitive website content,0,0,2,,5,Yes,
3,Yes,https://www.10to12folkestone.co.uk/,POSSIBLE,Targeted Website Improvements,83,,90,60,Rooms page returned an error,Website reliability,Rooms page returned an error | Broken internal link detected | Weak or repetitive website content,1,1,2,,2,Yes,
4,No,https://wycliffeguesthouse.co.uk/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,0,Eviivo,2,Yes,
3,Yes,https://www.waterfrontdeal.net/,POSSIBLE,Targeted Website Improvements,71,,55,65,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure,0,0,1,FreeOnlineBooking,1,Yes,
4,No,https://www.juddsfollyhotel.co.uk/,WEAK,RK Monitor,92,,95,80,No major automated issue detected,General website review,,0,0,1,,4,Yes,
4,No,https://www.sutherlandhouse.co.uk/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,0,Eviivo,8,Yes,
4,No,https://www.theclarendon-hotel.com/,WEAK,RK Monitor,84,,60,100,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure,0,0,1,,13,Yes,
2,Yes,https://www.thefalstafframsgate.com/,GOOD,Website Improvement / Redesign,63,,50,45,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure | Weak or repetitive website content,0,0,1,Eviivo,1,Yes,
4,No,https://thehouseatramsgate.co.uk/,WEAK,RK Monitor,89,,100,65,No major automated issue detected,General website review,,0,0,2,Eviivo,1,Yes,
4,No,https://www.stadecourthotel.co.uk/,WEAK,RK Monitor,84,,95,55,No major automated issue detected,Website content and information quality,Weak or repetitive website content,0,0,1,,1,Yes,
1,Yes,https://wardshotel.net/,STRONG,Website Recovery / Redesign,,,,,Website domain could not be resolved,Website reliability,Website domain could not be resolved,1,0,0,,0,Limited,"HTTPSConnectionPool(host='wardshotel.net', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='wardshotel.net', port=443): Failed to resolve 'wardshotel.net' ([Errno 11001] getaddrinfo failed)""))"
4,No,https://www.theprinthousetenterden.com/,WEAK,RK Monitor,87,,100,60,Slow homepage response,Website reliability,Slow homepage response | Weak or repetitive website content,0,1,1,,2,Yes,
3,Yes,https://www.littledanecourt.co.uk/,POSSIBLE,Targeted Website Improvements,76,,70,70,No room booking route detected,Booking journey,No room booking route detected,2,0,0,,0,Yes,
1,Yes,https://www.broadstairsbeachhouse.co.uk/,STRONG,Website Redesign,58,,25,70,Mobile viewport not detected,Booking journey,Mobile viewport not detected | No room booking route detected | Limited hospitality website structure,2,0,1,,0,Yes,
4,No,https://www.fernlodge.uk/,WEAK,RK Monitor,87,,90,70,No major automated issue detected,General website review,,0,0,1,,2,Yes,
4,No,https://www.anandlodge.co.uk/,WEAK,RK Monitor,87,,95,65,No major automated issue detected,General website review,,0,0,1,,2,Yes,
4,No,https://www.churchillguesthouse.co.uk/,WEAK,RK Monitor,92,,95,80,No major automated issue detected,General website review,,0,0,1,,1,Yes,
3,Yes,https://www.fleurdelishotelsandwich.co.uk/,POSSIBLE,Targeted Website Improvements,82,,55,100,No major automated issue detected,Website structure and guest journey,Limited hospitality website structure,0,0,1,Cloudbeds,2,Yes,
4,No,https://www.walpolebayhotel.co.uk/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,1,Direct Book,1,Yes,
1,Yes,https://www.fourseasonsbookings.co.uk/,STRONG,Website Recovery / Redesign,62,,25,100,Homepage returned an error,Booking journey,Homepage returned an error | Mobile viewport not detected | No room booking route detected,3,0,1,,0,Yes,
4,No,https://www.whitstablebedandbreakfast.co.uk/,WEAK,RK Monitor,86,,95,60,No major automated issue detected,Website content and information quality,Weak or repetitive website content,0,0,1,,1,Yes,
3,Yes,https://www.longfieldguesthouse.co.uk/,POSSIBLE,Targeted Website Improvements,82,,80,70,No major automated issue detected,General website review,,0,0,2,,2,Yes,
3,Yes,https://www.houseofagnes.co.uk/,POSSIBLE,Targeted Website Improvements,81,,95,45,Broken internal link detected,Website reliability,Broken internal link detected | Weak or repetitive website content,0,1,1,,1,Yes,
4,No,https://www.maisondieu.co.uk/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,1,,2,Yes,
3,Yes,https://castle-guesthouse.co.uk/,POSSIBLE,Targeted Website Improvements,73,,65,75,No room booking route detected,Booking journey,No room booking route detected | Slow homepage response | Broken internal link detected,2,3,0,,0,Yes,
1,Yes,https://www.mollandhouse.co.uk/,STRONG,Website Redesign,61,,50,55,No room booking route detected,Booking journey,No room booking route detected | Room page has no detected images | Limited hospitality website structure,3,1,1,,0,Yes,
3,Yes,https://www.ststephensguesthouse.co.uk/,POSSIBLE,Targeted Website Improvements,81,,80,65,No major automated issue detected,General website review,,0,0,1,,2,Yes,
3,Yes,https://www.saintpetersbandb.co.uk/,POSSIBLE,Targeted Website Improvements,73,,80,55,Room page has no detected images,Room presentation,Room page has no detected images | Weak or repetitive website content,4,0,1,,2,Yes,
3,Yes,https://sunnylodge.co.uk/,POSSIBLE,Targeted Website Improvements,81,,55,100,Broken internal link detected,Website reliability,Broken internal link detected | Limited hospitality website structure,0,1,2,,1,Yes,
1,Yes,https://www.theguesthousebroadstairs.com/,STRONG,Website Recovery / Redesign,,,,,Secure website connection failed,Website reliability,Secure website connection failed,1,0,0,,0,Limited,"HTTPSConnectionPool(host='www.theguesthousebroadstairs.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1081)')))"
4,No,https://www.kingsheaddeal.co.uk/,WEAK,RK Monitor,93,,95,85,No major automated issue detected,General website review,,0,0,2,,1,Yes,
3,Yes,https://www.rocksaltfolkestone.co.uk/rooms/,POSSIBLE,Targeted Website Improvements,79,,75,65,Broken internal link detected,Website reliability,Broken internal link detected,0,1,1,,5,Yes,
3,Yes,https://sotiriosfolkestone.com/bed-breakfast-folkestone-kent/,POSSIBLE,Targeted Website Improvements,74,,65,60,No major automated issue detected,Website content and information quality,Weak or repetitive website content,0,0,1,,1,Yes,
1,Yes,https://www.newinn-sandwich.co.uk/,STRONG,Website Redesign,77,,70,70,Gallery page returned an error,Website reliability,Gallery page returned an error | Multiple broken internal links detected,10,0,2,,1,Yes,
3,Yes,https://theoldrectorydeal.com/,POSSIBLE,Targeted Website Improvements,72,,60,70,No room booking route detected,Booking journey,No room booking route detected | Limited hospitality website structure,2,0,1,,0,Yes,
4,No,https://thecornerbroadstairs.co.uk/,WEAK,RK Monitor,91,,100,70,No major automated issue detected,General website review,,0,0,1,,1,Yes,
4,No,https://www.russell-hotel.com/,WEAK,RK Monitor,89,,95,70,No major automated issue detected,General website review,,0,0,1,,2,Yes,
